id,count,latitude,longitude
411,1,50.4333,30.5167
412,1,30.628,-96.3344
413,1,39.9168,-75.3877
414,1,29.7355,-94.9774
415,1,33.5644,-86.8236
416,1,-33.8615,151.2055
417,1,38,-97
418,1,33.4483,-81.6921
419,1,40.7619,-73.9763
420,1,43,25
421,1,32.5885,-96.9561
422,1,29.3496,-98.5636
423,1,45.5295,-122.6432
424,1,24,90
425,1,56.5167,21.0167
426,1,32.6615,-97.1694
427,1,38,-97
428,1,39.1393,-95.7711
429,1,41.5422,-72.8195
430,1,36.0316,-115.2118
431,1,32.7831,-96.8067
432,1,41.3984,2.1741
433,1,36.175,-115.1372
434,1,52.5,5.75
435,1,33.8188,-118.0377
436,1,33.6306,-112.3332
437,1,34.2438,-115.8598
438,2,28.149,-80.6528
439,1,45.7111,-87.6021
440,1,33.0162,-96.5382
441,1,38,-97
442,1,40.6714,-73.9361
443,1,43.6867,-79.4867
444,1,31.1171,-97.7278
445,1,41.7922,123.4328
446,1,39.2904,-76.6122
447,1,31.0456,121.3997
448,1,29.8729,-98.014
449,2,33.5806,-112.2374
450,1,60,100
451,1,40.5576,-74.2846
452,1,34.1706,-118.8376
453,1,29.7449,-95.7311
454,1,38,-97
455,2,38,-97
456,1,45.8944,-122.8138
457,1,33.8987,-98.4785
458,1,30.1678,-97.8225
459,1,37.8309,-122.2196
460,1,51,9
461,1,40.4114,-74.0647
462,1,31.8639,117.2808
463,1,36.2643,-95.8277
464,1,38,-97
465,1,39.3326,-76.6928
466,1,53,28
467,1,39.0997,-94.5786
468,1,38.9499,-94.7453
469,1,38,-97
470,1,55.7522,37.6156
471,1,43.8338,4.3596
472,2,39.0783,-75.461
473,1,45.5833,-62.6333
474,1,29.7395,-95.3879
475,1,32.7243,-97.0805
476,1,27.6764,-97.4937
477,1,38,-97
478,1,33.8595,-84.6838
479,2,41.3246,-73.6976
480,1,33.0306,-96.9926
481,1,38,-97
482,1,32.9722,-96.7376
483,1,32.9722,-96.7376
484,1,36.7477,-119.7724
485,1,43.0687,-87.9767
486,1,29.9105,-98.1723
487,2,35.994,-78.8986
488,1,42.6159,-70.662
489,1,33.6746,-118.0086
490,1,29.5892,-98.2939
491,1,40.9111,-74.1425
492,2,37.8309,-122.2196
493,2,36.3302,-119.2921
494,1,25.7743,-80.1937
495,1,51.75,19.4667
496,1,56.0097,37.4819
497,1,36.175,-115.1372
498,1,59.8944,30.2642
499,1,32.7093,-96.0083
500,1,-31.4135,-64.1811
501,1,38,-97
502,1,32.7831,-96.8067
503,1,32.8791,-96.9898
504,1,42.6833,23.3167
505,1,32.6518,-96.9083
506,2,32.9722,-96.7376
507,1,41.6639,-83.5552
508,1,34.7465,-92.2896
509,1,32.7597,-97.147
510,1,38,-97
511,1,32.5043,-94.5741
512,1,55.7522,37.6156
513,1,6.35,2.4333
514,1,55.7333,24.35
515,1,30.2672,-97.7431
516,1,41.3155,-111.9627
517,1,55.7522,37.6156
518,1,29.9801,-93.9587
519,1,37.3022,-120.483
520,1,-33.5333,151.3083
521,1,55.6581,12.5241
522,1,35.2086,-97.4445
523,1,32.6655,-97.6125
524,2,29.548,-98.2911
525,1,50.7116,2.934
526,1,32.8334,-96.7936
527,1,38,-97
528,1,41.8776,-87.6272
529,1,29.5476,-98.4251
530,1,55.7522,37.6156
531,1,38.886,-104.682
532,1,40.153,-87.6459
533,1,29.8688,-95.538
534,1,47.4056,7.5438
535,1,33.559,-97.8487
536,1,26.2159,-98.3253
537,1,32.6709,-97.4157
538,1,32.814,-96.9489
539,1,33.9791,-84.1494
540,1,32.7254,-97.3208
541,1,32.6518,-96.9083
542,1,38,-97
543,1,38,-97
544,1,30.2672,-97.7431
545,1,30.2961,-97.7369
546,1,32.7254,-97.3208
547,2,38,-97
548,1,18.975,72.8258
549,1,31.8639,117.2808
550,1,25.7743,-80.1937
551,1,32.7714,-97.2915
552,1,36.6683,116.9972
553,1,38,-97
554,1,0,0
555,1,38,-97
556,1,32.2746,-90.132
557,1,35.4676,-97.5164
558,1,43.1005,-77.426
559,1,33.4001,-111.929
560,4,33.1356,-96.769
561,1,36.0625,-115.3192
562,1,30.2866,-81.515
563,1,38,-97
564,1,47.5407,-122.2712
565,2,39.9331,-74.1668
566,2,35.2445,-96.634
