latitude,longitude,count
40.7002,-111.9434,1
40.6097,-111.9391,2
41.0352,-111.9386,1
33.3673,-111.9357,1
40.5622,-111.9297,1
33.4001,-111.929,1
33.4912,-111.9237,1
40.6583,-111.9231,1
41.0285,-111.9205,1
33.4357,-111.9171,5
43.6724,-111.915,1
41.1828,-111.915,1
33.4148,-111.9093,1
33.561,-111.9089,6
41.0859,-111.9022,1
33.5092,-111.899,7
40.5765,-111.8938,2
40.7608,-111.8911,12
33.6119,-111.8906,10
40.6576,-111.884,1
40.7561,-111.8837,1
33.3858,-111.8755,1
33.6645,-111.8734,2
41.7048,-111.8709,1
40.7598,-111.8626,2
40.7386,-111.8591,1
33.3861,-111.8469,1
33.3062,-111.8413,6
40.6561,-111.8351,1
40.7995,-111.8285,1
40.8804,-111.8233,1
33.4223,-111.8226,6
33.3462,-111.8153,2
33.2479,-111.7895,2
33.3528,-111.789,8
33.8571,-111.7832,1
34.8697,-111.761,1
33.604,-111.7426,1
40.7855,-111.7367,4
33.6836,-111.735,1
40.3563,-111.7325,2
40.2903,-111.7236,2
33.6117,-111.7174,1
33.43,-111.7147,1
40.7087,-111.7143,1
40.6247,-111.7123,4
40.3143,-111.7116,1
40.2338,-111.6585,2
33.4514,-111.6412,1
33.3899,-111.6367,1
33.2487,-111.6343,2
40.4647,-111.6332,3
40.2181,-111.6133,2
40.3393,-111.5709,1
40.7174,-111.5534,1
33.4151,-111.5496,2
40.6461,-111.498,1
56.7333,-111.3833,1
47.2994,-111.3441,2
32.2572,-111.0809,1
31.8466,-111.0605,1
32.2686,-111.0022,2
32.2338,-110.95,2
32.2217,-110.9265,14
32.1633,-110.9164,2
32.2132,-110.8873,1
31.9582,-110.693,1
35.1013,-110.6473,1
43.456,-110.515,1
31.5545,-110.3037,1
31.5918,-110.1719,2
31.4384,-110.0979,1
36.0731,-109.8923,1
48.5666,-109.7389,1
34.2575,-109.6929,1
40.4555,-109.5288,2
48.59,-109.2313,1
25.7667,-108.9667,1
50.0667,-108.8,1
45.7661,-108.5789,1
32.679,-108.5064,1
45.7833,-108.5007,1
42.6501,-108.4242,4
45.6583,-108.3842,3
36.4714,-108.251,1
39.7046,-108.0364,1
37.1413,-107.8871,2
37.2753,-107.8801,2
37.4509,-107.8488,20
37.2256,-107.5981,1
37.3774,-107.5508,2
39.4022,-107.2112,2
38.4378,-107.0601,6
39.3584,-107.0539,2
51.5,-107.05,1
33.8974,-107.0261,3
37.2694,-107.0098,1
38.5458,-106.9253,2
35.0441,-106.8904,3
40.485,-106.8317,1
39.1911,-106.8175,1
32.3123,-106.7783,1
35.1241,-106.7675,2
32.2714,-106.7373,1
34.7744,-106.7274,3
35.2467,-106.7232,1
35.1988,-106.7035,2
34.5967,-106.672,2
52.1333,-106.6667,9
35.2334,-106.6645,4
35.0845,-106.6511,18
35.1445,-106.6447,3
32.3047,-106.6417,1
35.0757,-106.6406,2
34.9893,-106.6275,1
35.2393,-106.6255,1
35.0585,-106.6236,1
32.004,-106.6058,1
35.0694,-106.5774,1
35.15,-106.5728,3
35.3488,-106.5586,1
31.8545,-106.533,3
31.8038,-106.5329,2
35.0995,-106.5178,2
31.7587,-106.4869,19
31.7634,-106.4328,1
31.96,-106.4021,1
31.7958,-106.3762,2
35.1678,-106.3656,2
31.7698,-106.3323,1
31.7111,-106.3261,1
31.7435,-106.2969,2
42.8035,-106.2245,2
37.5602,-106.1392,1
35.634,-106.085,2
28.6333,-106.0833,1
35.5384,-106.0015,1
49.6167,-105.9833,2
35.687,-105.9378,2
35.6318,-105.8789,5
35.7847,-105.8749,2
39.945,-105.8172,1
33.3539,-105.6328,1
41.3114,-105.5911,5
40.4555,-105.4648,2
40.0878,-105.3735,5
40.0496,-105.2769,1
40.015,-105.2706,4
39.7146,-105.2433,1
39.9668,-105.2092,1
40.1791,-105.1986,2
39.5487,-105.1745,2
39.6825,-105.1568,1
40.524,-105.1396,2
40.3532,-105.1316,2
39.7427,-105.1187,1
40.1672,-105.1019,4
39.8028,-105.0875,1
39.9205,-105.0867,5
39.5583,-105.0838,1
40.3083,-105.0811,1
39.7661,-105.0772,1
40.3978,-105.075,4
40.5195,-105.0628,1
39.9355,-105.0473,2
39.6133,-105.0166,2
40.0657,-105.0133,1
39.8158,-105.0128,1
39.9134,-105.0075,1
39.6951,-105.0024,1
39.7525,-104.9995,2
39.6478,-104.9878,3
39.7392,-104.9847,14
39.732,-104.9839,1
39.7594,-104.9688,2
39.7055,-104.9664,1
39.677,-104.9647,1
39.5347,-104.9582,3
39.5811,-104.957,1
39.729,-104.9528,1
39.8474,-104.9459,3
39.9004,-104.9428,1
39.8083,-104.9339,3
39.6384,-104.9058,1
39.529,-104.905,12
39.6762,-104.887,1
39.6929,-104.8847,1
39.6237,-104.8738,4
39.0917,-104.8728,1
39.569,-104.8582,15
39.3722,-104.8561,2
40.3294,-104.8552,1
38.7629,-104.8479,1
39.7003,-104.8415,3
39.7294,-104.8319,3
38.8765,-104.8288,1
38.8339,-104.8214,14
39.9853,-104.8205,3
39.0747,-104.8104,1
39.871,-104.7843,1
39.6276,-104.7833,1
38.9142,-104.7749,2
39.6603,-104.7681,1
39.4895,-104.7676,3
38.9584,-104.7573,1
38.8103,-104.7091,1
40.4233,-104.7091,2
40.3489,-104.7019,1
38.9048,-104.7017,1
39.8417,-104.6958,1
39.6894,-104.6928,1
40.3764,-104.6922,1
38.886,-104.682,3
39.5076,-104.6773,1
50.45,-104.6167,3
38.2544,-104.6091,1
39.3603,-104.5969,1
33.3395,-104.5249,1
38.3403,-104.5204,2
37.1695,-104.5005,1
39.7388,-104.4083,2
38.2375,-104.3511,1
30.3585,-103.661,1
40.2589,-103.6238,1
37.985,-103.5438,1
44.035,-103.3782,2
20.6667,-103.3333,2
