latitude,longitude,count,city,state,zip,country
34.1566,-97.1792,3,Ardmore,OK,73401,US
32.8211,-97.1756,10,Hurst,TX,76053,US
32.8558,-97.1755,3,Hurst,TX,76054,US
33.1062,-97.16,5,Argyle,TX,76226,US
32.6555,-97.1599,16,Arlington,TX,76017,US
33.6547,-97.1583,2,Gainesville,TX,76240,US
32.9485,-97.1524,9,Southlake,TX,76092,US
32.6289,-97.1517,6,Arlington,TX,76001,US
32.8872,-97.146,5,Colleyville,TX,76034,US
32.8297,-97.1454,3,Bedford,TX,76022,US
32.7199,-97.1442,15,Arlington,TX,76013,US
32.5773,-97.1416,8,Mansfield,TX,76063,US
32.8536,-97.1358,19,Bedford,TX,76021,US
32.754,-97.1348,8,Arlington,TX,76012,US
32.6931,-97.1347,1,Arlington,TX,76015,US
33.2289,-97.1314,10,Denton,TX,76201,US
33.1903,-97.1282,9,Denton,TX,76205,US
31.5171,-97.1198,10,Waco,TX,76706,US
33.0268,-97.1193,3,Flower Mound,TX,75022,US
33.2074,-97.1163,1,Lewisville,TX,75029,US
33.2346,-97.1131,8,Denton,TX,76209,US
32.433,-97.1087,2,Venus,TX,76084,US
32.7582,-97.1003,7,Arlington,TX,76011,US
32.8264,-97.0972,7,Euless,TX,76040,US
32.6548,-97.092,10,Arlington,TX,76018,US
32.7785,-97.0834,1,Arlington,TX,76006,US
32.8582,-97.0832,15,Euless,TX,76039,US
32.7204,-97.0826,1,Arlington,TX,76010,US
32.9328,-97.0808,26,Grapevine,TX,76051,US
32.6255,-97.0784,8,Arlington,TX,76002,US
33.0383,-97.0745,6,Flower Mound,TX,75028,US
33.1428,-97.0727,18,Denton,TX,76210,US
33.0775,-97.0704,10,Lewisville,TX,75077,US
36.1396,-97.063,3,Stillwater,OK,74075,US
33.2117,-97.0612,8,Denton,TX,76208,US
36.1043,-97.0609,3,Stillwater,OK,74074,US
32.5907,-97.0405,2,Grand Prairie,TX,75054,US
28.7525,-97.0338,2,Victoria,TX,77905,US
32.6605,-97.0311,11,Grand Prairie,TX,75052,US
32.7649,-97.0112,5,Grand Prairie,TX,75050,US
33.0532,-96.9999,3,Lewisville,TX,75057,US
49.9247465,-96.997877,1,Winnipeg,MB,R2C 2Z2,CA
32.4757,-96.9936,15,Midlothian,TX,76065,US
33.0198,-96.9925,24,Lewisville,TX,75067,US
32.8653,-96.9905,1,Irving,TX,75038,US
33.292,-96.9879,4,Aubrey,TX,76227,US
32.9673,-96.9805,6,Coppell,TX,75019,US
32.8479,-96.974,8,Irving,TX,75062,US
32.8267,-96.9633,1,Irving,TX,75061,US
32.9247,-96.9598,11,Irving,TX,75063,US
32.8023,-96.9597,6,Irving,TX,75060,US
33.1768,-96.9583,7,Little Elm,TX,75068,US
32.636,-96.9493,2,Dallas,TX,75249,US
32.5885,-96.9438,5,Cedar Hill,TX,75104,US
32.8697,-96.9389,3,Irving,TX,75039,US
32.6587,-96.9114,1,Duncanville,TX,75116,US
32.6347,-96.9113,2,Duncanville,TX,75137,US
32.7319,-96.9057,1,Dallas,TX,75211,US
32.9245,-96.8938,10,Dallas,TX,75234,US
33.2559,-96.8853,4,Frisco,TX,75033,US
49.855687,-96.8836588,1,Dugald,MB,R0E 0K0,CA
33.094,-96.8836,23,The Colony,TX,75056,US
32.9657,-96.8825,11,Carrollton,TX,75006,US
33.0033,-96.882,14,Carrollton,TX,75007,US
33.659,-96.879,2,Whitesboro,TX,76273,US
33.0304,-96.8777,13,Carrollton,TX,75010,US
32.7829,-96.8714,1,Dallas,TX,75212,US
32.6041,-96.8653,4,Desoto,TX,75115,US
32.8681,-96.8622,5,Dallas,TX,75220,US
32.8958,-96.8588,6,Dallas,TX,75229,US
37.8226,-96.8543,1,El Dorado,KS,67042,US
32.7492,-96.8389,1,Dallas,TX,75208,US
32.8252,-96.8388,1,Dallas,TX,75235,US
32.7114,-96.8387,1,Dallas,TX,75224,US
32.96,-96.8385,5,Addison,TX,75001,US
32.3808,-96.8374,3,Waxahachie,TX,75165,US
32.9322,-96.8353,2,Dallas,TX,75244,US
33.0005,-96.8314,12,Dallas,TX,75287,US
49.9335171,-96.8294935,1,Oakbank,MB,R0E 1J2,CA
32.8456,-96.826,4,Dallas,TX,75209,US
33.1499,-96.8241,7,Frisco,TX,75034,US
32.9503,-96.819,5,Dallas,TX,75254,US
32.8132,-96.8142,1,Dallas,TX,75219,US
32.5185,-96.8071,6,Red Oak,TX,75154,US
32.7904,-96.8044,6,Dallas,TX,75201,US
33.2362,-96.7954,9,Prosper,TX,75078,US
32.9682,-96.7942,7,Dallas,TX,75248,US
32.9968,-96.7921,10,Dallas,TX,75252,US
32.8628,-96.7918,2,Dallas,TX,75225,US
32.8999,-96.7897,8,Dallas,TX,75230,US
33.0299,-96.7889,11,Plano,TX,75093,US
32.9374,-96.7872,6,Dallas,TX,75240,US
32.8038,-96.7851,5,Dallas,TX,75204,US
32.826,-96.7843,5,Dallas,TX,75205,US
33.0752,-96.7843,14,Plano,TX,75024,US
32.6161,-96.783,1,Lancaster,TX,75134,US
32.7673,-96.7776,1,Carrollton,TX,75011,US
32.7673,-96.7776,1,Dallas,TX,75275,US
32.5914,-96.7728,1,Lancaster,TX,75146,US
32.831,-96.7692,5,Dallas,TX,75206,US
32.7582,-96.7623,3,Dallas,TX,75215,US
33.2141,-96.7533,2,Mc Kinney,TX,75071,US
33.1377,-96.7524,8,Frisco,TX,75035,US
32.8248,-96.7498,3,Dallas,TX,75214,US
32.8756,-96.7495,5,Dallas,TX,75231,US
40.7934,-96.7479,1,Lincoln,NE,68522,US
32.7942,-96.7475,1,Dallas,TX,75223,US
32.966,-96.7452,20,Richardson,TX,75080,US
